All,全部
"Please enter the ""%1"".","请输入""%1""。"
"Please enter the correct ""%1"".","请输入正确的""%1""。"
"Custom Types",自定义类型
"Static Types",静态类型
"Product has required options.",产品具有要求的选项。
"You need to enter sender data.",您需要输入发件人的数据。
"Please add invitees.",请添加被邀请者。
"You cannot send emails to more than %1 recipients at once","您不能发送电子邮件到 %1 收件人超过一次"
"Please enter a valid invitee email address.",请输入一个有效的邀请的电子邮件地址。
"Please enter an invitee name.",请输入邀者的姓名。
"You shared the gift registry for %1 emails.","你分享礼物登记处为 %1 的电子邮件。"
"We couldn't share the registry.",我们不能分享的注册表。
Private,私人
"Please enter the title.",请输入标题。
"Please enter the message.",请输入消息。
"Please enter correct the Privacy setting.",请输入正确的隐私设置。
"We cannot specify the product.",我们不能指定产品。
"The quantity of ""%1"" product added to cart exceeds the quantity desired by the Gift Registry owner. The quantity added has been adjusted to meet remaining quantity %2.","""%1""产品添加到购物车的数量超过礼品登记业主所需的数量。添加的数量进行了调整，以满足剩余量 %2。"
"Existing quantity of ""%1"" product in the cart has been replaced with quantity %2 just requested.","购物车中的""%1""产品的现有数量已被替换成数量 %2 只是要求。"
"This product(s) is out of stock.",本产品已无存货。
"Please correct the product for adding the item to the quote.",请更正为将项添加到报价单产品。
"Please correct the item option format.",请更正项目选项的格式。
"An item option with code %1 already exists.",具有代码%1的产品选项已存在
New,新建
"Please enter the first name.",请输入名字。
"Please enter the last name.",请输入姓氏。
"Please enter a valid email address(for example, daniel@x.com).","请输入一个有效的电子邮件地址 (例如，daniel@x.com)。"
"Ship to the recipient's address.",运到收件人的地址。
"-- All --","— — 所有 — —"
"Unknown gift registry identifier",未知的礼物注册表标识符
"All Forms",所有形式
"Registrant Name Search",注册人名称搜索
"Registrant Email Search",注册电子邮件搜索
"Gift Registry ID Search","礼物注册表 ID 搜索"
Owner,所有者
"Created on",创建于
"Attribute Group",属性组
"Is Required",需要
"Is Searcheable","是 Searcheable"
"We found an attribute with this static input type already in the gift registry type. Please select a different input type.",我们发现属性与此静态输入类型已经在礼物的注册表类型。请选择一个不同的输入的类型。
"Show Region",显示区域
"Date Format",日期格式
"Select a shipping address from your address book or enter a new address.",从您的通讯簿中选择送货地址或输入新的地址。
"Add All To Gift Registry",全部添加至礼品登记
"Ship to registrant's address",运到注册的地址
"Use the gift registry shipping address",使用礼物登记处送货地址
"Added On",添加对
"Qty Fulfilled",完成的数量
"Update Gift Registry",更新注册表的礼物
"This gift registry has no items.",这份礼物注册表中没有数据项。
"Created On",创建于
"Manage Items",管理项目
Share,共享
"You haven't created a gift registry yet.",您还没有创建礼品登记。
Sender,发送方
Invitee,被邀请者
"Maximum %1 email addresses.","最大的 %1 电子邮件地址。"
"Add Invitee",添加被邀请者
"Gift Registry Type",礼物的注册表类型
"Please select a gift registry type.",请选择礼品注册表类型。
"Registrant Information",注册信息
"Maximum %1 registrants.","最大 %1 登记。"
"Add Registrant",添加注册人
Type:,类型:
"Privacy Settings",隐私设置
"Gift Registry Items Updated",更新注册表礼品
"Requested Quantity",请求的数量
"Fulfilled Quantity",充实的数量
"Total Fulfilled Quantity",共完成数量
"Remaining Quantity",剩余数量
"Customize and Add to Gift Registry",自定义并添加到注册表的礼物
"Required Fields",必填的字段
"Search Options",搜索选项
"For better search results, first choose a gift registry type. By default, we search all registry types.",为更好的搜索结果中，首先选择礼物的注册表类型。默认情况下，我们搜索所有的注册表类型。
"Type Specific Options",类型特定选项
"Registrant Email",注册电子邮件
"Gift Registry ID","礼物注册表 ID"
"Search Results",搜索结果
Location,位置
"Please enter at least two letters of the name.",请输入至少两个字母的名称。
"Search By",通过搜索
"Please enter at least two letters.",请输入至少两封信。
"Unit Price",单价
"Gift Registry created at %store_name","在 %store_name 上创建的礼品登记"
"You have successfully created the new gift registry ""%registry_name"".","您已成功创建新的礼品登记""%registry_name""。"
"Now you can add products to your gift registry.",现在你可以将产品添加到您的礼物的注册表。
"Simply browse to <a href=""%store_url"">%store_name</a> and add the products you want to your shopping cart or wish list.","只需浏览到 <a href=""%store_url""> %store_name</a> 和你想要的产品添加到购物车或愿望清单。"
"You can then add the products to your registry from your shopping cart or wish list page.",然后可以从您的购物车或愿望列表页面将产品添加到您的注册表。
"You can also share it with your friends and family by logging into your account and visiting the Gift Registry tab.",你还可以共享它与您的朋友和家人通过登录到您的帐户和参观礼物注册表选项卡。
"Or you can email the following link and gift registry ID to them:","或者，您可以通过电子邮件向他们的以下链接和礼物注册表 ID:"
"Registry Location:",注册表位置:
"Registry ID:","注册表 ID:"
"Gift Registry shared at %store_name","在 %store_name 共享的礼品登记"
"You can view and purchase items from this gift registry at <a href='%account_url'>%store_name</a>.","您可以查看和购买从 <a href='%account_url'>%store_name</a> 这个礼物注册表项。"
"Gift Registry:",礼品登记:
"Created For:",为创建:
"You can create your own gift registry on <a href='%account_url'>%store_name</a> and share it with friends and family.","你可以在 <a href='%account_url'>%store_name</a> 上创建你自己的礼物注册表和与朋友和家人分享。"
"Gift Registry updated at %store_name","在 %store_name 上更新礼品登记"
"The following items have been purchased from your gift registry ""%registry_name"":","从你的礼物注册表""%registry_name""购买了以下各项:"
"You can sign in to your account to view more details about this gift registry.",你可以登录到您的帐户以查看有关此礼品登记更多详细信息。
"Ship to Recipient Address",运到收件人地址
"Recipient Address",收件人地址
"Use gift registry shipping address",使用礼品登记的送货地址
"The only place to change the number of gift registry items is on the Gift Registry Info page or directly in your cart.",换礼物注册表项的数目的唯一地方是在礼物注册表信息页面或直接在您的购物车中。
"Gift Registry Details",礼物注册表详细信息
"Event Data",事件数据
"Event Information",事件信息
"Event Country",事件的国家
"My event special",我特别的事件
"My special attribute",我特殊的属性
"Gift Registry Section",礼物登记部分
"General Options",一般选择
"Enable Gift Registry",启用的礼物注册表
"Maximum Registrants",最大注册人
"Owner Notification",所有者通知
"Gift Registry Sharing",礼物注册表共享
"Maximum Sent Emails Threshold",最大发送的电子邮件阈值
"Gift Registry Update",礼物注册表更新
"Event Region Id","事件区域 Id"
"Event Region Text",事件区域的文本
"Event Location",活动地点
"Gift Registry Quick Search Form",礼物注册表快速搜索表单
"Quick Search Form Types",快速搜索窗体类型
"Default Template",默认模板
Listed,上市
"Gift Wrapping",礼品包装
"Add Gift Wrapping",添加礼品包装
"Are you sure you want to delete this gift wrapping?",你确定你想要删除这个礼物包装吗?
"Edit Gift Wrapping ""%1""","编辑礼品包装""%1"""
"New Gift Wrapping",新的礼品包装
"Gift Wrapping Information",礼品包装信息
"Gift Wrapping Design",礼品包装设计
"Please request the correct gift wrapping.",请正确的礼品包装。
"You updated a total of %1 records.","你更新共 %1 记录。"
"Something went wrong while updating the wrapping(s) status.","在更新 wrapping(s) 状态时，出了错。"
"You deleted the gift wrapping.",你删除礼品包装。
"You have not uploaded the image.",你不上传的图像。
"You saved the gift wrapping.",你保存礼品包装。
"We can't save the gift wrapping right now.",我们无法保存现在包装的礼物。
"We can't update the image right now.",我们现在不能更新的图像。
"Excluding Tax",包含和不包含税
"Including Tax",包括税
"Including and Excluding Tax",包括和不包括税
"The image content must be valid data.",图像内容必须是有效的数据。
